"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"a j fashions ltd",3236,"50000","padding jackets, cargo pants, long pants",273,"0",NA,23.7936,90.38822,"234/4, kachukhet, dhaka cantonment",2000,0,0,0,1
"akm knit wear ltd",3420,"235000","trousers, pants, rumpers",1050,"0",NA,23.79321,90.27133,"14, gedda, conpara, ulail dhaka savar",2001,0,0,0,1
"aboni knit wear ltd",3498,NA,"NA",69,"1",NA,23.79864,90.26803,"160-171, tetulgora, hemayetpur dhaka savar",2001,0,0,0,1
"adeeba apparels ltd",3354,"90000","shirts, pants, trousers",186,"0",NA,23.7936,90.38822,"234/4, kachukhet, dhaka cantonment",2001,0,0,0,1
"alaku apparel ltd",3270,"204000","t-shirts, long plants, boxer shorts",152,"1",NA,23.77776,90.40574,"gp-ga- 185/a, school road, dhaka mohakhali",2000,0,0,0,1
"aftex ltd ",3288,"57200","t-shirts, polo shirts, pants",120,"0.5",NA,23.68947,90.48412,"168, goodnyle, narayanganj siddirgonj",2001,0,0,0,1
"agrani sweaters ltd",3493,"45000","sweaters",220,"1",NA,23.7822,90.35954,"12, south kallayanpur, dhaka mirpur",2001,0,0,0,1
"ais sweater ltd",3431,"50000","sweaters, cardigans, pullovers,",200,"1",NA,24.0261018,90.2757594,"plot # 356, shafipur, national university gazipur",2001,0,0,0,1
"akbar apparels ltd",3395,"1200000","t-shirts, polo shirts, tank tops",38,"1",NA,24.407929,90.3866074,"kasorghar, mymensingh valuka",2001,0,0,0,1
"akh fashions ltd",3253,"120000","shirts, blouses, denim",185,"0",NA,23.79864,90.26803,"133/134, hamayetpur, dhaka savar",2000,0,0,0,1
"amena pvt ltd",3271,"60000","t-shirt, long shirts, swimming",480,"0",NA,23.86342,90.3874,"abdul latif market, road # 9/c, ahalia, sector # 6 dhaka uttara",2000,0,0,0,1
"amex knitting and dyeing indsltd",3255,"250000","t-shirts, polo shirts, sweat shirts",200,"1",NA,23.72628,90.41589,"plot # 19, road # 13, rajuk shampur, kadamtoly dhaka old dhaka",2000,0,0,0,1
"amity design ltd",3464,"585000","t-shirts, polo shirts, fleece items",190,"1",NA,23.83714,90.37481,"house # 7 & 9, road # 9, block -d, section # 11 dhaka mirpur",2001,0,0,0,1
