"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist06"
"4 star fashions ltd",3081,60000,"sweaters",280.5,"1","Rampura",23.759108,90.421705,"385/1, East Rampura (6th Floor),Rampura,Dhaka",1998,0,0,1
"4 you clothing ltd",2914,130000,"NA",183.5,"0","Kafrul",23.802142,90.3738497,"167/1, Senpara Parbata,Section # 10,Mirpur,Dhaka",1999,0,0,1
"786 garments and toxtiles",674,1e+05,"NA",66.5,"0","Lalbagh",23.7232373,90.3874284,"127, Azimpur Road,Lalbagh,Old Dhaka,Dhaka",1987,0,0,1
"a and h enterprises ltd",2190,60000,"NA",114,"1","Sonargaon",23.7133326,90.5175125,"Tatki,Tarabo,Rupganj,Narayanganj",1992,0,0,1
"absiddiquen apparels ltd",937,25000,"NA",67,"0.5","Jatrabari",NA,NA,NA,1989,0,1,1
"abcattire ltd",1192,45000,"NA",105,"0",NA,23.78588,90.3766,"142, west kafrul, sher-e-bangla nagar dhaka agargaon",1992,0,0,1
"abm apparels ltd",1283,30000,"NA",105,"0","Uttara",23.8680559,90.4001427,"177, Dakhin Khan,Azampur,Uttara,Dhaka",1992,0,0,1
"abm fashions ltd",1095,150000,"NA",307.5,"0","Rampura",23.7593442,90.4203057,"380/6-1 East Rampura,TV Avenue,Rampura,Dhaka",1992,0,0,1
"abs garments ltd",3201,NA,"NA",65,"1","Demra",NA,NA,NA,2000,0,1,1
"afmsweaters ltd",1983,30000,"NA",180,"1","Gazipur Sadar",23.9664327,90.3724617,"Sung Sonda, Sharifpur,Gazipur Sadar,Gazipur",1995,0,0,1
"agdresses ltd ",2276,1e+05,"NA",178,"0","Gazipur Sadar",23.9133268,90.4223881,"Plot # 9, Block - C, Tongi I/A,Himardighi,Tongi,Gazipur",1992,0,0,1
"ahgarments ltd",700,15000,"NA",164,"0","New Market",23.7389542,90.3878989,"115, New Elephant Road,Elephent Road,Dhaka",1988,0,0,1
"amc garments ltd",213,36000,"NA",104,"0.5","Shahbagh",NA,NA,NA,1986,0,1,1
"angarments ltd",114,150000,"NA",244.5,"0","Mirpur",23.8060072,90.3571841,"Sony Cinema Bhaban, Section # 2,Mirpur,Dhaka",1984,0,0,1
"aqmapparels pvt ltd",1548,36000,"NA",219,"0","Adabor",23.7747664,90.3645471,"2/Q, Ring Road,Shamoli,Dhaka",1993,0,0,1
"arapparels ltd",2152,80000,"NA",120,"1",NA,23.9504063,90.380132,"plot # 740, kamarzury, national university gazipur board bazar",1995,0,0,1
"arbknit wear ltd",3187,60000,"t-shirts",49,"1","Savar",NA,NA,NA,2000,0,1,1
"as fashions ltd",3195,30000,"NA",926.5,"0","Shyampur",23.6927717,90.4301942,"Setu Market (2nd Floor),16/1, Natun Jurain,Postagola,Dhaka",2000,0,0,1
"asgarments and textiles ltd",3138,50000,"NA",163.5,"0",NA,23.75189,90.43403,"109, goran, dhaka shabujbagh",2000,0,0,1
"azmsweater ltd",2730,10000,"sweaters",80.5,"1","Paltan",NA,NA,NA,1998,0,1,1
"aaa fashions pvt ltd",1144,25000,"NA",158.5,"0","Khilkhet",23.8344837,90.4183223,"G.P. Ka -77/1 Khilkhet,Cantonment,Dhaka",1992,0,0,1
"ab sweaters ltd",2770,NA,"NA",166.119288313789,"1","Narayanganj Sadar",23.6927384,90.5212109,"North Azibpur,Siddirganj,Narayanganj",1998,0,0,1
"aba fashions ltd",3016,2e+05,"sports & casual wear, trousers, shorts",333.5,"0","Gazipur Sadar",23.9010413,90.4088223,"Sena Kalyan Comm. Complex (6th Floor),Plot # 9, Block-F,Tongi,Gazipur",1999,0,0,1
"aba garments ltd",1404,60000,"NA",303.5,"0","Gazipur Sadar",23.9010413,90.4088223,"Sena Kalyan Comm. Complex (6th & 8th Floor),Plot # 9, Block-F,Tongi,Gazipur",1993,0,0,1
"aba sweater ltd",3183,90000,"NA",417.619288313789,"1","Pallabi",23.8253064,90.3724815,"Safura Khatun Super Market,142 Senanibus Road, Section-12,Mirpur,Dhaka",2000,0,0,1
"abc garments ltd",60,55000,"NA",224,"0","mirpur",23.7922419,90.3485008,"26, Mirpur Road,Mirpur Road,Dhaka",1984,0,0,1
"abedin fashions wear ltd",1721,72000,"NA",330.5,"0","Gazipur Sadar",23.9999405,90.4202724,"Chandana (East),Joydevpur,Gazipur",1994,0,0,1
"abedin garments ltd",34,264000,"NA",760.5,"0","Tejgaon Ind. Area",23.7721179,90.4036083,"228/A, Tejgaon I/A,Tejgaon,Dhaka",1985,0,0,1
"aboni fashions ltd",3011,60000,"NA",118,"0","Savar",23.8009923,90.2614174,"Plot # 23-24, Tetuljhora,Hemayetpur,Savar,Dhaka",2000,0,0,1
"absolute quaiity wear ltd ",2454,NA,"NA",153.852325094261,"0","Kafrul",23.8007498,90.3789552,"M-15 & M-18,Section # 14,Mirpur,Dhaka",1997,0,0,1
"accord knits ltd",2806,170000,"NA",45,"1","Pahartali",NA,NA,NA,1998,0,1,1
"active apparels pvt ltd",1307,60000,"NA",115,"0","Gulshan",23.7777571,90.4057408,"G.P. KA-29, Mohakhali (South),Mohakhali,Dhaka",1992,0,0,1
"actor sporting ltd ",2225,NA,"NA",224.47161340805,"0","Savar",23.9473238,90.2817309,"SFB-1 (2nd Floor),DEPZ, Ganokbari,Savar,Dhaka",1995,0,0,1
"adhunik poshak shilpa ltd",1566,38000,"NA",150,"0","Mohammadpur",23.754763,90.3658706,"Civil Engineer Tower, Inds. Plot # 1,Block - E, Avenue # 1, Section # 11,Mirpur,Dhaka",1994,0,0,1
"aditi apparels ltd",1055,80000,"NA",117.5,"0","mirpur",23.7918946,90.3495377,"26/A/B, 2nd Colony,Section # 1,Mirpur,Dhaka",1992,0,0,1
"adonis garments pvt ltd",538,150000,"NA",175,"0","Gulshan",23.7949222,90.4131624,"42, Sabera Market,Gulshan North C/A,Gulshan-2,Dhaka",1985,0,0,1
"adorn fabrics pvt ltd gmt div",1466,150000,"NA",47,"1","Narayanganj Sadar",23.6191169,90.5030441,"33/2 Issa Khan Road,Narayanganj",1993,0,0,1
"adorn fabrics pvt ltd hd",1980,2e+05,"NA",52,"1","Narayanganj Sadar",NA,NA,NA,1994,0,1,1
"adorn garments ltd",2164,180000,"NA",123.5,"0","Kalabagan",23.7502964,90.3870857,"69/A Green Rood,Green Road,Dhaka",1994,0,0,1
"aeon garments ltd",284,NA,"NA",224.47161340805,"0","Mirpur",23.8060072,90.3571841,"Sony Cinema Bhaban, Section # 2,Mirpur,Dhaka",1984,0,0,1
"afco abedin garments ltd",73,2e+05,"NA",200.5,"0",NA,23.7923316,90.4005152,"House # 84, New Airport Road,Banani,Dhaka",1985,0,0,1
"agami apparels ltd",1669,41600,"NA",178.5,"0",NA,23.9047,90.32413,"62, kathgara, bishmail, zirabo road, ashulia dhaka savar",1993,0,0,1
"agami fashions ltd ",2426,41600,"NA",178.5,"0","Savar",23.8946743,90.2696336,"62, Kathgara, Bishmail,Zirabo Road, Ashulia,Savar,Dhaka",1997,0,0,1
"ags apparels ltd",94,104000,"NA",218,"0","Mohammadpur",23.7575183,90.3607505,"Sat Masjid Super Market (2nd floor),Plot # Gha, Block # D,Mohammadpur,Dhaka",1985,0,0,1
"ahmed fashions ",764,220000,"NA",143,"0.5","Mirpur",23.797427,90.353002,"34/1, Darus Salam Road,Section # 1,Mirpur,Dhaka",1990,0,0,1
"ahsan fashions ltd",1932,50000,"NA",45,"1","Narayanganj Sadar",NA,NA,NA,1994,0,1,1
"ahsan knitting ltd",2814,160000,"NA",70,"1","Narayanganj Sadar",23.6970192,90.5021589,"Suhhur Super Market,369, Siddirganj,Narayanganj",1995,0,0,1
