,admin_name,A,admin_name.1,B,inter_area,inter_peri,A_union_B,inter_area/A_union_B,inter_area/min,inter_area/max,inter_area/peri_sq,pair,norm_inter_area,log_inter_area,log_iou,log_min,log_max,log_ap,row_id,diff_log_inter_area,diff_log_iou,diff_log_min,diff_log_max,diff_log_ap
8845,shyamnagar,1772.285536,shyamnagar,1772.285536,1772.285536,1.62358E+11,1772.285536,1,1,1,0.010915937,91_11,1,7.480025256,-4.00E-15,-2.00E-15,-2.00E-15,-4.517531408,8845,0.184935313,0,0,0,0.004346057
2461,shyamnagar,1772.285536,shyamnagar,1772.285536,1772.285536,1.62358E+11,1772.285536,1,1,1,0.010915937,91_01,1,7.480025256,-4.00E-15,-2.00E-15,-2.00E-15,-4.517531408,2461,0,0,0,0,0
5606,shyamnagar,1772.285536,shyamnagar,1772.285536,1772.285536,1.62358E+11,1772.285536,1,1,1,0.010915937,01_11,1,7.480025256,-4.00E-15,-2.00E-15,-2.00E-15,-4.517531408,5606,0,0,0,0,0
2973,mongla,1473.049385,mongla,1473.049385,1473.049385,1.21975E+11,1473.049385,1,1,1,0.012076688,91_01,0.831158047,7.295089943,9.99E-15,0,0,-4.416478318,2973,0.033746857,0,0,0,0.031352391
6222,mongla,1473.049385,mongla,1473.049385,1473.049385,1.21975E+11,1473.049385,1,1,1,0.012076688,01_11,0.831158047,7.295089943,9.99E-15,0,0,-4.416478318,6222,0,0,0,0,0
9417,mongla,1473.049385,mongla,1473.049385,1473.049385,1.21975E+11,1473.049385,1,1,1,0.012076688,91_11,0.831158047,7.295089943,9.99E-15,0,0,-4.416478318,9417,0,0,0,0,0
2152,baghai chhari,1424.168033,baghai chhari,1424.168033,1424.168033,39587854250,1424.168033,1,1,1,0.035974873,91_01,0.803577078,7.261343086,-5.00E-15,-3.00E-15,-3.00E-15,-3.324934554,2152,3.65E-13,0,0,0,0.000214936
5292,baghai chhari,1424.168033,baghai chhari,1530.039654,1424.168033,39587854250,1530.039654,0.930804655,1,0.930804655,0.035974873,01_11,0.803577078,7.261343086,-0.071705846,-3.65E-13,-0.071705846,-3.324934554,5292,0.000197338,0,1.35E-13,0,0
8539,baghai chhari,1424.168033,baghai chhari,1530.039654,1424.168033,39587854250,1530.039654,0.930804655,1,0.930804655,0.035974873,91_11,0.803577078,7.261343086,-0.071705846,-3.65E-13,-0.071705846,-3.324934554,8539,0,0.02636808,0,0.012738966,1.36E-13
4329,koyra,1423.887018,koyra,1423.887018,1423.887018,1.15882E+11,1423.887018,1,1,1,0.012287408,01_11,0.803418517,7.261145747,-6.99E-15,-3.00E-15,-3.00E-15,-4.399180249,4329,0.390095467,0,0,0,0.003760399
1193,koyra,1423.887018,koyra,1423.887018,1423.887018,1.15882E+11,1423.887018,1,1,1,0.012287408,91_01,0.803418517,7.261145747,-6.99E-15,-3.00E-15,-3.00E-15,-4.399180249,1193,0,0,0,0,0
7586,koyra,1423.887018,koyra,1423.887018,1423.887018,1.15882E+11,1423.887018,1,1,1,0.012287408,91_11,0.803418517,7.261145747,-6.99E-15,-3.00E-15,-3.00E-15,-4.399180249,7586,0,0,0,0,0
89,thanchi,963.9604629,thanchi,963.9604629,963.9604629,41686130746,963.9604629,1,1,1,0.023124249,91_01,0.543908102,6.87105028,9.99E-15,9.99E-15,9.99E-15,-3.766873476,89,0.002516262,0,0,0,0
3181,thanchi,963.9604629,thanchi,963.9604629,963.9604629,41686130746,963.9604629,1,1,1,0.023124249,01_11,0.543908102,6.87105028,9.99E-15,9.99E-15,9.99E-15,-3.766873476,3181,0,0,0,0,0.000495883
6466,thanchi,963.9604629,thanchi,963.9604629,963.9604629,41686130746,963.9604629,1,1,1,0.023124249,91_11,0.543908102,6.87105028,9.99E-15,9.99E-15,9.99E-15,-3.766873476,6466,0,0,0,0,0
2163,"belai chhari , jurai chhari",1392.911641,belai chhari,961.5379347,961.5379347,43038123913,1392.911641,0.690307918,1,0.690307918,0.022341539,91_01,0.542541208,6.868534018,-0.370617523,-2.80E-14,-0.370617523,-3.801307587,2163,0.01901364,0.003415945,0,0.003415945,0.001819918
4314,dacope,943.4283095,dacope,943.4283095,943.4283095,60992634055,943.4283095,1,1,1,0.015467906,01_11,0.532322975,6.849520378,-7.99E-15,-4.00E-15,-4.00E-15,-4.168988004,4314,0.020575088,0,0,0,0.00305342
1178,dacope,943.4283095,dacope,943.4283095,943.4283095,60992634055,943.4283095,1,1,1,0.015467906,91_01,0.532322975,6.849520378,-7.99E-15,-4.00E-15,-4.00E-15,-4.168988004,1178,0,0,0,0,0
7571,dacope,943.4283095,dacope,943.4283095,943.4283095,60992634055,943.4283095,1,1,1,0.015467906,91_11,0.532322975,6.849520378,-7.99E-15,-4.00E-15,-4.00E-15,-4.168988004,7571,0,0,0,0,0
63,lama,924.2155189,lama,924.2155189,924.2155189,43616754575,924.2155189,1,1,1,0.021189461,91_01,0.52148229,6.82894529,9.99E-15,0,0,-3.854251345,63,0.072676818,0,0,0,0.002794206
3155,lama,924.2155189,lama,924.2155189,924.2155189,43616754575,924.2155189,1,1,1,0.021189461,01_11,0.52148229,6.82894529,9.99E-15,0,0,-3.854251345,3155,0,0,0,0,0
6440,lama,924.2155189,lama,924.2155189,924.2155189,43616754575,924.2155189,1,1,1,0.021189461,91_11,0.52148229,6.82894529,9.99E-15,0,0,-3.854251345,6440,0,0,0,0,0
4258,dighinala,859.4292209,dighinala,859.4292209,859.4292209,31787113501,859.4292209,1,1,1,0.027037033,01_11,0.484927064,6.756268472,-7.99E-15,-4.00E-15,-4.00E-15,-3.610547779,4258,0.0725698,0,0,0,0
1124,dighinala,859.4292209,dighinala,859.4292209,859.4292209,31787113501,859.4292209,1,1,1,0.027037033,91_01,0.484927064,6.756268472,-7.99E-15,-4.00E-15,-4.00E-15,-3.610547779,1124,0,0,0,0,0.004024039
