"","admin_name","ipum1991","upaz1991","parent","area91","A","admin_name.1","ipum2001","upaz2001","parent.1","area01","B","A_intersect_B","A_intersect_B_perimeter","A_union_B","metric_1","metric_2","metric_3","metric_4","metric_5","pair","ipum2011","upaz2011","area11"
"1...1","bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,"bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,271718584.026644,7838179959.94341,271718584.02664,271718584.026644,1.00000000000002,1.00000000000001,1.00000000000001,0.0346660303048982,"91_01",NA,NA,NA
"2...2","chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,"bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,5.40647046695879e-05,240667989.833899,412018318.632662,5.40647046695879e-05,1.31219176974968e-13,3.85351439340835e-13,1.98973157700126e-13,2.24644352192003e-13,"91_01",NA,NA,NA
"3...3","fakirhat","040001034","400134","040001",163476064.179073,163476064.179073,"bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,5.50683783866866e-05,380796796.396448,435194648.20566,5.50683783866866e-05,1.26537351995797e-13,3.36858968701156e-13,2.02666956270047e-13,1.44613554808783e-13,"91_01",NA,NA,NA
"4...4","kachua","040001038","400138","040001",115545369.014329,115545369.014329,"bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,0.000120711566789538,1209889847.47214,387263953.04085,0.000120711566789538,3.11703596065924e-13,1.0447114221823e-12,4.44252156038404e-13,9.9770708086975e-14,"91_01",NA,NA,NA
"6...5","morrelganj","040001060","400160","040001",429282034.507677,429282034.507677,"bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,3.75695526599884e-06,36069194.2321772,701000618.534315,3.75695526599884e-06,5.35941790444359e-15,1.38266408220001e-14,8.7517179010473e-15,1.04159667161272e-13,"91_01",NA,NA,NA
"7...6","rampal","040001073","400173","040001",323801124.509414,323801124.509414,"bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,3.83214260507441e-05,423101696.017337,595519708.536017,3.83214260507441e-05,6.43495513271102e-14,1.41033511520827e-13,1.18348650298248e-13,9.05726127109967e-14,"91_01",NA,NA,NA
"1.1...7","bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,5.3934919894854e-05,240667989.833899,412018318.632662,5.3934919894854e-05,1.30904179391451e-13,3.84426385739713e-13,1.98495513614062e-13,2.24105083239687e-13,"91_01",NA,NA,NA
"2.1...8","chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,140299734.606076,4582382043.13832,140299734.606073,140299734.606076,1.00000000000002,1.00000000000001,1.00000000000001,0.0306172059172066,"91_01",NA,NA,NA
"3.1...9","fakirhat","040001034","400134","040001",163476064.179073,163476064.179073,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,0,0,303775798.785147,0,0,0,0,NA,"91_01",NA,NA,NA
"4.1...10","kachua","040001038","400138","040001",115545369.014329,115545369.014329,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,0,0,255845103.620403,0,0,0,0,NA,"91_01",NA,NA,NA
"5...11","mollahat","040001056","400156","040001",210199192.795978,210199192.795978,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,0,0,350498927.402052,0,0,0,0,NA,"91_01",NA,NA,NA
"141...12","tungipara","030035091","303591","030035",165646339.156679,165646339.156679,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,0,0,305946073.762753,0,0,0,0,NA,"91_01",NA,NA,NA
"358...13","nazirpur","010079076","107976","010079",219746841.517485,219746841.517485,"chitalmari","040001014","400114","040001",140299734.606074,140299734.606074,0,0,360046576.123559,0,0,0,0,NA,"91_01",NA,NA,NA
"1.2...14","bagerhat sadar","040001008","400108","040001",271718584.026642,271718584.026642,"fakirhat","040001034","400134","040001",163476064.179073,163476064.179073,5.50986742710706e-05,380796796.396447,435194648.20566,5.50986742710706e-05,1.26606966556796e-13,3.3704429176075e-13,2.02778453554977e-13,1.44693113998016e-13,"91_01",NA,NA,NA
